0,1,2,3,4,5,6,7,8,9,10,11,12
S.No,,PRODUCT DESCRIPTION,,,Qty.,Qty.,Unit Rate,GST,GST,GST,,Amount
,,,,,SAC,,,(%),(%),Amt,,
1,CHAKKI ATTA 500GMS X 40 PKTS,CHAKKI ATTA 500GMS X 40 PKTS,,,11010000,30,727.52,,5,"1,091.00","1,091.00","21,826.00"
2,CHAKKI ATTA 1 KG X 20 PKTS,CHAKKI ATTA 1 KG X 20 PKTS,,,11010000,20,727.52,,5,728.00,728.00,"14,550.00"
3,CHAKKI ATTA 5 KG X 6PKTS,CHAKKI ATTA 5 KG X 6PKTS,,,11010000,6,"1,065.10",,5,320.00,320.00,"6,391.00"
4,CHAKKIATTA 10KG X 3PKTS,CHAKKIATTA 10KG X 3PKTS,,,11010000,3,"1,065.10",,5,160.00,160.00,"3,195.00"
5,JAGGERY POWDER 500 GMS X40 PKTS,JAGGERY POWDER 500 GMS X40 PKTS,,,17011310,1,"1,118.00",,5,56.00,56.00,"1,118.00"
6,RICE FLOUR 1KGX20PKTS,RICE FLOUR 1KGX20PKTS,,,11029022,10,732.29,,5,366.00,366.00,"7,323.00"
,RICE FLOUR 500 GRAM SX40 PKTS,RICE FLOUR 500 GRAM SX40 PKTS,,,11029022,2,732.29,,5,73.00,73.00,"1,465.00"
8,IDLY SOOJI 1KG X20 PKTS,IDLY SOOJI 1KG X20 PKTS,,,11031900,10,713.24,713.24,5,357.00,357.00,"7,132.00"
9,MEDIUM SOOJI 30 KG,MEDIUM SOOJI 30 KG,,,11031110,3,"1,110.00",,0,0.00,0.00,"3,330.00"
10,ROASTEDSOOJI 500 GRAMS X40,ROASTEDSOOJI 500 GRAMS X40,,,11031110,3,837.05,837.05,5,126.00,126.00,"2,511.00"
11,ROASTED SOOJI1 KG X20,ROASTED SOOJI1 KG X20,,,11031110,3,837.05,,5,126.00,126.00,"2,511.00"
12,SUJI 500 GMS X40 PKTS,SUJI 500 GMS X40 PKTS,,,11031110,5,808.48,,5,202.00,202.00,"4,042.00"
13,BHAGYALAKSHMI VERMICELLI 400GMS X,BHAGYALAKSHMI VERMICELLI 400GMS X,,BHAGYALAKSHMI VERMICELLI 400GMS X,19021900,,785.83,,5,39.00,39.00,786.00
,40PKTS,,,,,,,,,,,
14,KING PAROTA MAIDA 50KG,KING PAROTA MAIDA 50KG,,,11010000,10,"1,890.00",,0,0.00,0.00,"18,900.00"
15,KING PAROTA MAIDA 10 KG X 3PKT,KING PAROTA MAIDA 10 KG X 3PKT,,,11010000,3,"1,169.86",,5,175.00,175.00,"3,510.00"
16,MAIDA 1 KG X 20PKTS,MAIDA 1 KG X 20PKTS,,,11010000,5,770.38,,5,193.00,193.00,"3,852.00"
17,MAIDA 500 GMS X40PKTS,MAIDA 500 GMS X40PKTS,,,11010000,5,770.38,,5,193.00,193.00,"3,852.00"
18,Maize Starch Corn Flour 1KgX25,Maize Starch Corn Flour 1KgX25,,,11081200,1,"1,102.50",12,12,132.00,132.00,"1,103.00"
,19RAW RICE SOOJI 500 GRAMS X40,19RAW RICE SOOJI 500 GRAMS X40,,,11031900,2,732.29,,5,73.00,73.00,"1,465.00"
,,,,,Total,123,,,,"4,410.00","4,410.00","1,08,862.00"
